# Ingenuity Rotor Blade Geometry - Table 2
# Source: NASA/TM-20240001510, Mars Helicopter Ingenuity Rotor Geometry
# Columns: y, c_R, twist_deg, radius, chord, thickness, t_c, airfoil
# Notes:
#   - twist_deg: twist angle (degrees)
#   - y: non-dimensional radius r/R
#   - c_R: non-dimensional chord c/R
#   - radius: dimensional radius (m), R = 0.605 m
#   - chord: dimensional chord (m)
#   - thickness: thickness (m)
#   - t_c: thickness ratio
#   - airfoil: airfoil station label (dash = interpolated)
y      c_R      twist_deg   radius     chord     thickness       t_c  airfoil
0.0908   0.0506   16.316    0.055   0.031   0.02895   0.973     Station_1
0.1158   0.0631   16.716    0.070   0.038   0.02620   0.707     -
0.1551   0.0967   17.316    0.094   0.059   0.02222   0.391     -
0.2000   0.1407   17.616    0.121   0.085   0.01817   0.220     Station_2
0.2472   0.1758   17.216    0.150   0.106   0.01448   0.140     -
0.2950   0.1968   15.916    0.178   0.119   0.01136   0.098     Station_3
0.3429   0.2021   14.142    0.207   0.122   0.00883   0.074     -
0.3903   0.1968   12.067    0.236   0.119   0.00693   0.060     Station_4
0.4369   0.1863   10.703    0.264   0.113   0.00564   0.052     -
0.4826   0.1743    9.495    0.292   0.105   0.00512   0.050     -
0.5271   0.1627    8.433    0.319   0.098   0.00478   0.050     clf5605
0.5704   0.1530    7.486    0.345   0.093   0.00449   0.050     -
0.6121   0.1446    6.632    0.370   0.087   0.00425   0.050     -
0.6523   0.1375    5.858    0.395   0.083   0.00404   0.050     clf5605
0.6908   0.1314    5.156    0.418   0.080   0.00386   0.050     -
0.7274   0.1259    4.512    0.440   0.076   0.00370   0.050     -
0.7621   0.1209    3.926    0.461   0.073   0.00355   0.050     -
0.7947   0.1160    3.388    0.481   0.070   0.00341   0.050     -
0.8252   0.1111    2.901    0.499   0.067   0.00326   0.050     clf5605
0.8535   0.1058    2.461    0.516   0.064   0.00311   0.050     -
0.8794   0.1001    2.061    0.532   0.061   0.00294   0.050     -
0.9030   0.0935    1.706    0.546   0.057   0.00275   0.050     -
0.9241   0.0860    1.390    0.559   0.052   0.00253   0.050     clf5605
0.9427   0.0775    1.117    0.570   0.047   0.00228   0.050     -
0.9588   0.0679    0.881    0.580   0.041   0.00200   0.050     -
0.9722   0.0573    0.543    0.588   0.035   0.00168   0.050     clf5605
0.9830   0.0460    0.179    0.595   0.028   0.00135   0.050     -
0.9912   0.0341    0.057    0.600   0.021   0.00100   0.050     clf5605
0.9966   0.0223    0.019    0.603   0.013   0.00066   0.050     -
1.0000   0.0123    0.000    0.605   0.007   0.00036   0.050     clf5605
