  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 6409                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.019 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.2800   0.13726   0.12596  -0.0225   1.0000   0.4734
  -9.500  -0.2677   0.13080   0.11964  -0.0196   1.0000   0.5284
  -9.000  -0.2528   0.12394   0.11287  -0.0158   1.0000   0.6067
  -8.000  -0.0196   0.08449   0.07268  -0.0470   1.0000   1.0000
  -7.500  -0.0087   0.08054   0.06887  -0.0470   1.0000   1.0000
  -7.000   0.0008   0.07684   0.06533  -0.0466   1.0000   1.0000
  -6.500   0.0091   0.07338   0.06201  -0.0459   1.0000   1.0000
  -6.000   0.0157   0.07017   0.05898  -0.0449   1.0000   1.0000
  -5.500   0.0203   0.06724   0.05624  -0.0434   1.0000   1.0000
  -5.000   0.0228   0.06457   0.05377  -0.0416   1.0000   1.0000
  -4.500  -0.0451   0.06686   0.05659  -0.0231   1.0000   0.9607
  -4.000  -0.1252   0.06942   0.05972  -0.0043   1.0000   0.9060
  -3.500  -0.2015   0.07102   0.06186   0.0114   1.0000   0.8530
  -3.000  -0.2781   0.07188   0.06325   0.0255   1.0000   0.8065
  -2.000  -0.3483   0.06951   0.06139   0.0211   1.0000   0.6498
  -1.500  -0.1690   0.06311   0.05368  -0.0388   1.0000   0.4523
  -1.000  -0.0469   0.05797   0.04736  -0.0644   1.0000   0.4072
  -0.500   0.0447   0.05460   0.04287  -0.0782   1.0000   0.4115
   0.000   0.1207   0.05252   0.03983  -0.0864   1.0000   0.4457
   0.500   0.1891   0.05124   0.03787  -0.0917   1.0000   0.5178
   1.000   0.2465   0.04903   0.03661  -0.0927   1.0000   0.7144
   1.500   0.2950   0.05056   0.03630  -0.0969   1.0000   1.0000
   2.000   0.3347   0.05348   0.03779  -0.0977   1.0000   1.0000
   2.500   0.3693   0.05651   0.04002  -0.0981   1.0000   1.0000
   3.000   0.4022   0.05970   0.04263  -0.0986   1.0000   1.0000
   3.500   0.4339   0.06306   0.04559  -0.0990   1.0000   1.0000
   4.000   0.4646   0.06660   0.04882  -0.0995   1.0000   1.0000
   4.500   0.4942   0.07032   0.05233  -0.1000   1.0000   1.0000
   5.000   0.5229   0.07422   0.05612  -0.1005   1.0000   1.0000
   5.500   0.5506   0.07831   0.06016  -0.1011   1.0000   1.0000
   6.000   0.5773   0.08261   0.06446  -0.1017   1.0000   1.0000
   6.500   0.6031   0.08713   0.06906  -0.1025   1.0000   1.0000
   7.000   0.6279   0.09185   0.07390  -0.1033   1.0000   1.0000
   7.500   0.6517   0.09680   0.07900  -0.1042   1.0000   1.0000
   8.000   0.6745   0.10198   0.08443  -0.1052   1.0000   1.0000
   8.500   0.6964   0.10740   0.09010  -0.1064   1.0000   1.0000
   9.000   0.7173   0.11306   0.09605  -0.1077   1.0000   1.0000
   9.500   0.7373   0.11898   0.10234  -0.1091   1.0000   1.0000
  10.000   0.7563   0.12516   0.10888  -0.1108   1.0000   1.0000
  10.500   0.7746   0.13162   0.11572  -0.1126   1.0000   1.0000
  11.000   0.7920   0.13839   0.12290  -0.1147   1.0000   1.0000
  11.500   0.8168   0.14639   0.13147  -0.1193   0.9888   1.0000
  12.000   0.8611   0.15794   0.14369  -0.1284   0.9423   1.0000
  12.500   0.8867   0.16545   0.15183  -0.1329   0.8905   1.0000
  13.000   0.9146   0.17442   0.16137  -0.1376   0.8333   1.0000
  13.500   0.9477   0.18581   0.17329  -0.1427   0.7676   1.0000
  14.000   0.9670   0.19348   0.18134  -0.1449   0.7052   1.0000
  14.500   0.9903   0.20283   0.19104  -0.1476   0.6469   1.0000
  15.000   1.0096   0.21106   0.19948  -0.1497   0.6000   1.0000
  15.500   1.0343   0.22159   0.21021  -0.1524   0.5608   1.0000
  16.000   1.0531   0.23013   0.21888  -0.1549   0.5315   1.0000
  16.500   1.0639   0.23535   0.22418  -0.1575   0.5107   1.0000
  17.000   1.0891   0.24673   0.23571  -0.1604   0.4874   1.0000
  17.500   1.1034   0.25329   0.24238  -0.1635   0.4718   1.0000
  18.000   1.1175   0.25914   0.24830  -0.1667   0.4551   1.0000
  18.500   1.1334   0.26574   0.25497  -0.1699   0.4386   1.0000
  19.000   1.1508   0.27318   0.26249  -0.1733   0.4244   1.0000
  19.500   1.1674   0.27982   0.26920  -0.1767   0.4083   1.0000
  20.000   1.1846   0.28686   0.27635  -0.1802   0.3940   1.0000
