# CLF5605 - Upper Surface Flat Plate (clf5605-us-fp)
# Experimental data at Re ~ 20,000, M ~ 0.60
# Source: NASA/TM-20240004230, Table A.1
# Columns: alpha_deg, Re, M, Cl, Cl_std, Cd, Cd_std
# Note: "(repeat)" entries are repeated measurements at the same AoA
alpha_deg   Re      M       Cl          Cl_std      Cd          Cd_std
-2.0        20005   0.607   0.041741    0.001679    0.068803    0.004149
 0.0        20054   0.602   0.247152    0.003250    0.058084    0.004716
 0.0        19724   0.601   0.252750    0.004149    0.063273    0.003214
 2.0        19957   0.599   0.422462    0.007880    0.059664    0.004114
 2.5        19964   0.598   0.477280    0.008298    0.062711    0.003280
 3.0        19998   0.602   0.523162    0.010230    0.065789    0.003832
 3.5        20017   0.603   0.567937    0.007862    0.068284    0.004827
 4.0        19965   0.602   0.601181    0.008790    0.070632    0.004621
 4.5        19926   0.600   0.641799    0.010290    0.076203    0.003405
 5.0        19949   0.601   0.681619    0.009926    0.082380    0.003663
 5.5        19867   0.598   0.725006    0.008388    0.089652    0.004416
 6.0        19850   0.600   0.770064    0.010230    0.098460    0.003658
 6.0        19750   0.602   0.763214    0.009544    0.099153    0.004316
